"Title","Description","Body","Annual Budget","Country","Executive Director","Fulltime Staff","Part-time Staff","Volunteer Count"
"Telematics Freedom Foundation","","Continuous DemocracyWe promote the adoption of telematics tools to manage the running, in a safe and continuous manner, of a platform to practice a proper application of the concept of Democracy in the Age of the Web.The way Democracy is practiced...","","","","","",""
"Tenant Participation Advisory Service Cymru","","Mission and PurposeOver the past 20 years TPAS Cymru has been working with social housing tenants and landlords in Wales, developing participation methods, based on their expertise of the tenants point of view, through training and support, programmes...","","","Margaret Bracegirdle","","",""
"Terra-1530","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"The American Democracy Project","","Mission and PurposeMission Statement: ""The American Democracy Project for Civic Engagement is a national, multi-campus initiative that seeks to foster informed civic engagement in the United States. The project seeks to create a greater intellectual...","","United States","","","",""
"The Annenberg Institute for School Reform","","The Annenberg Institute for School Reform (AISR) at Brown University is a non-profit research and reform organization that works with various school systems and communities to promote a higher quality of learning for students inside and outside of...","","","Warren Simmons","46","",""
"The Bureau d’audiences publiques sur l’environnement – (The Office of Environmental Public Hearings)","","


  In 1978, Quebec modified its Environment Quality Act, which led to the establishment of the Environmental Impact Assessment and Review Procedure under the responsibility of the Minister of Environment, and to the creation of the Bureau d'audiences...","","","","","",""
"The Center for Deliberative Democracy","","Mission and PurposeThe Center for Deliberative Democracy is located in the Department of Communication at Stanford University. This organization uses Deliberative Polling® to research about democracy and public opinion. The Center for Deliberative...","","","James Fishkin","13","",""
"The Center for Deliberative Democracy at Stanford University","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"The Center for Ethical Leadership ",""," DescriptionCenter for Ethical Leadership (CEL) is a nonprofit organization that it spread across the nation. Its focus lays in building leadership within smaller community to advance social change. The group supports individual, institutional, and...","","United States","Dale Nienow","Karuma Ruder, Steve Stapleton, Melisa Hamaski","",""
"The Center for Voter Deliberation of Northern Virginia ","","DefinitionThe Center for Voter Deliberation of Northern Virginia is a non-profit whose main objective is to organize community deliberations with people in the local area. The institution was established in 2009 and was one of the first of its kind....","","United States","Beth Offenbacker and Bill Corbet ","","","All "
"The Centre for Humanitarian Dialogue","","In the global arena, the Centre for Humanitarian Dialogue (HD Centre) acts independent from any government organization in effort to promote and influence increased dialogue between conflicting groups of people, who would otherwise look for solutions by...","","Switzerland","Martin Griffiths","53","",""
"The Co-Intelligence Institute","","Mission and PurposeThe nonprofit Co-Intelligence Institute (CII) promotes awareness of co-intelligence and of the many existing tools and ideas that can be used to increase it. The CII embraces all such ideas and methods, and explores and catalyzes their...","","","Tom Atlee","","",""
"The Common Enterprise","","Organization
The Common Enterprise  
The Common Enterprise is a national organization, which works to encourage citizens with different backgrounds, party affiliations and beliefs to work together toward common goals. The Common Enterprise has spent...","","","","","",""
"The Consultation Institute","","MissionThe Consultation Institute seeks to promote the highest standards of public, stakeholder and employee consultation by initiating research, publications and specialist events in order to disseminate best practice and improve subsequent...","","","Rhion Jones","","",""
"the Danish Board of Technology Foundation (DBT)","The Danish Board of Technology Foundation is the parliamentary technology assessment institution of Denmark. It is an independent, non-profit institution, committed to technology assessment, foresight, parliamentary advisory activities on science, technology and innovation, and methodological research. The DBT works with a local, regional, national, as well as international perspective. It is specialized into interactive methodologies, involving trans-disciplinary research, stakeholder involvement, citizen participation, political debates and advice, and public communication.","Mission and PurposeThe DBT Foundation is active in the areas of public challenges, technology, knowledge, values and action. DBT aims to create platforms for combining participants knowledge in the search of sustainable solutions across different issues...","","Denmark","","","",""
"The de Borda Institute","The de Borda Institute is an international NGO which promotes inclusive forms of decision-making, especially in conflict zones.

[A]    In decision-making, we advocate the Modified Borda Count, (MBC), whereby contentious decisions are always based on a preferential vote, and wherein the outcome is the option with the highest average preference;

[B]    In elections, the appropriate methodology is the Quota Borda System, (QBS), which is both proportional and preferential; and

[C]    In governance, we suggest the matrix vote, the only voting procedure so far devised by which a parliament may elect a power-sharing all-party government of national unity such that, individually, each minister is the best one for that job, while collectively, this coalition represents all factions in the parliament in fair and due proportion.","Mission and PurposeTo promote inclusive politics.HistoryThe de Borda Institute was established in 1997, but by that time, we had been advocating the three Borda methodologies since 1986.Specializations and activitiesVoting systems in both decision-making...","","United Kingdom","Peter Emerson","1","1","10"
"The Democracy Imperative","","""We are a network. Our members share an interest in education for a more deliberative democracy and work together to share ideas; steward and distribute knowledge; develop, validate, and disseminate practices; and encourage innovation.We are a resource...","","","Nancy L. Thomas","","","12"
"The Digital Activism Research Project","The Digital Activism Research Project (DARP) is “dedicated to studying the effect of digital technology on civic engagement, non-violent conflict, and political change around the world” (digital-activism.org). Using an online database that is open to submissions, DARP’s mission is to bring a more empirical and collaborative approach to the study of digital citizen engagement in non-violent conflicts, democratization, and peace-building efforts around the world.","The Digital Activism Research Project (DARP) is “dedicated to studying the effect of digital technology on civic engagement, non-violent conflict, and political change around the world” (digital-activism.org). DARP’s mission is to bring a more empirical...","Donation-based funding.","United States","Mary C. Joyce","Staff list provided in content.","","Anonymous"
"The Freechild Project","","The Freechild Project is a consulting program focused on creating meaningful connections between adults and young people through programs, technical assistance, publications, training, and curriculum. With offices in Olympia, Washington, Freechild works...","250","","Adam Fletcher","1","5","2"
"The Freedom House","","Mission and Purpose
The Freedom House is a non-governmental organization that’s mission is to ensure the spread of democracy worldwide. The organization which is located in Washington D.C. supports democratic change and advocates for human rights....","8.21","","Peter Ackerman","120","",""
"The Freerz Community","The Freerz Community is an online community think-tank aimed at supporting worthy causes of real-world entities. We act as a force multiplier for organizations who are pursuing the same goals one can read in the Freerz Manifesto. Basically these are encouraging dialogue between religions, combatting poverty, propsing direct democracy and the use of open source software, developing an international capacity to effectively respond to disasters, etc.","Mission and Purpose(We strongly advise to read the Freerz Manifesto first, in order to understand the core principles We believe in. http://freerz.org)Many netizens are feel Themselves much more comfortable and free while being on-line, than in Their...","","United States","","","",""
"The Greenlining Institute","The Greenlining Institute was founded by a group of people, composed of difference ethnicities, that aimed to help people of color live in society without bias and discrimination. After meeting to discuss problems and solutions, they founded an official institute, The Greenlining Institute, to gain more voice, power, and support. Together, these people have made some profound change in minority communities and society as a whole, including economics, education, and politics.","Mission and PurposePeople of color do not experience the same society as Caucasian Americans. In many areas of the U.S., minority populations are still discriminated against. For instance, people of color are refused of public services or political...","","United States","","","",""
"The Harwood Institute For Public Innovation","","Mission""The Harwood Institute for Public Innovation is a non-profit, non-partisan organization that seeks nothing less than to spark fundamental change and authentic hope in American public life. We do this by cultivating, coaching, connecting, and...","","United States","","","",""
"The Institute for Civic Discourse & Democracy","","The Institute for Civil Discourse and Democracy (ICDD) is an organization made up of scholars, professors, students and faculty members of Kansas State University who are there to try to help facilitate and promote civic public engagement within its...","","United States","David Procter","30","",""
"The Keystone Center","","Mission and PurposeThe Keystone Center was founded in 1975 by Robert W. Craig and is a non-profit organization who's headquarters are in Keystone, Colorado with other offices in Denver and Washington, DC. The main purpose of the Keystone Center is to...","8","","Peter S. Adler","51","",""
"The League of Women Voters","","The League of Women Voters is a nonpartisan political organization, established in 1920 to rework and improve the structure of government and benefit public policies by educating and engaging American citizens in public advocacy. The League of Women...","","United States","Elisabeth MacNamara","","",""
"The newdemocracy Foundation","","The newdemocracy Foundation is an independent, non-partisan research organisation aiming to identify improvements to our democratic process. We aim to replace the adversarial with the deliberative, and move out of the “continuous campaign” cycle. http://...","","Australia","","","",""
"The Office de consultation publique de Montréal","","Created in 2002, the Office de consultation publique de Montréal (OCPM) is an independent public organization whose mission is to carry out public consultation mandates entrusted to it by the Montréal city council or executive committee. It distinguishes...","","","","","",""
" The Open Ministry (Avoin ministeriö)","'The Open Ministry (Avoin ministeriö) is about crowdsourcing legislation, deliberative and participatory democracy and citizens initiatives. It is a non-profit organization based in Helsinki, Finland.

It helps citizens and NGO's with national citizens' initiatives, EU citizens initiatives and develop the online services for collaborating, sharing and signing the initiatives' http://openministry.info/
https://www.avoinministerio.fi/","Open Ministry is an online tool for crowd sourced legislation and participative democracy. It is about crowd sourcing legislation, deliberative and participatory democracy and citizens initiatives. It is a non-profit organization based in Helsinki,...","","Finland","","","",""
"The Participatory Budgeting Project","","Note: the following article is a stub. Please help us complete it. Mission and Purpose""The Participatory Budgeting Project (PBP) is a non-profit organization that empowers people to decide together how to spend public money, primarily in the US and...","","","Josh Lerner","","",""
"The People Decide","","About UsOur goal is to bring the voice and will of the people to our congressmen and elected officials. The interactive nature of this website allows our members to cast votes for every major bill that goes through Congress. You can also discuss and...","","","","","",""
"The Pew Center for Civic Journalism","","Note: the following article is a stub. Please help us complete it. Mission and PurposeThe Pew Center was an incubator for civic journalism experiments that enable news organizations to create and refine better ways of reporting the news to re-engage...","","","","","",""
"The Sociocracy Consulting Group","","Our vision is a world where equivalence, transparency, and effectiveness are the norms in organizational governance structures and decision making.Our mission is to introduce, implement, and support sociocracy - also known as dynamic governance - in...","","","","","",""
"The World Bank","","Mission and PurposeThe World Bank Group has set two goals for the world to achieve by 2030:End extreme poverty by decreasing the percentage of people living on less than $1.90 a day to no more than 3%Promote shared prosperity by fostering the income...","","","","","",""
"The Young Foundation","","Mission and PurposeThe Young Foundation is a leading independent centre for disruptive social innovation. We create new movements, institutions and companies that tackle the structural causes of inequality.We work to create a more equal and just society...","","United Kingdom","","","",""
"Together Creating Communities","","Mission and PurposeTCC works to build citizenship and democracy by training those within our membership groups, giving them the skills and confidence to discover their power and to use it in taking political action in the interests of their local...","","","Mrs Chris Pilsbury","","",""
"Transpartisan Alliance","","The Transpartisan Alliance is an informal network of networks

Links
Transpartisan Alliance","","United States","","","",""
"U.S. Department of Energy","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you!Mission and Purpose History Specializations and activities ...","","United States","","","",""
"U.S. Environmental Protection Agency (EPA)","","Note:  This article is a stub and the Participedia community will appreciate any work you can do to help us complete it by providing additional content and/or editing existing content. Thank you!Mission and Purpose History Specializations and activities ...","","United States","","","",""
"UK Youth Parliament","","The UK Youth Parliament (UKYP) is a London-based organization that gives the United Kingdom's youth a voice in politics. ""Run by young people for young people"", UKYP consists of more than 600 democratically elected Members of Youth Parliament (MYPs),...","1","","Andy Hamflett","18","","600"
"United Minds","","United Minds 
The Resurrection
The original site was lost to the Internet.
So I've started from scratch and setup this petition site - a simplified version of what I was trying to achieve, and a simple first step the people of Ireland could make to take...","","Ireland","","","",""
"United National Indian Youth (UNITY)","","Mission and PurposeUNITY was founded to cultivate strong, self-reliant Native youth that will be assets to their communities as involved civic members. It also serves as a forum for discussion about problems facing both the individual indigenous peoples...","","","","","",""
"United Nations","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"United Nations Development Programme (UNDP)","UNDP works in nearly 170 countries and territories, helping to achieve the eradication of poverty, and the reduction of inequalities and exclusion. We help countries to develop policies, leadership skills, partnering abilities, institutional capabilities and build resilience in order to sustain development results.","Mission and PurposeUNDP works in some 170 countries and territories, helping to achieve the eradication of poverty, and the reduction of inequalities and exclusion. We help countries to develop policies, leadership skills, partnering abilities,...","","","Helen Clark ","","",""
"University of the Andes","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Unlock Democracy","","Mission and PurposeUnlock Democracy (incorporating Charter 88) is a UK campaign for democracy, rights and freedoms. A grassroots movement - they are owned and run by their members. In particular, they campaign for:Fair, Open and Honest ElectionsRights,...","","United Kingdom","Vicky Seddon ","","",""
"Urban Forum","","Mission and PurposeUrban Forum is a national charity and a membership organisation that supports communities to have a greater say over decisions that affect them. They work with their members to influence government policy and to support them to...","","United Kingdom","","","",""
"Urban Interactive Studio","Participation Your Way: Intuitive Digital Engagement for Better Communities.

Urban Interactive Studio provides digital tools that improve outreach and engagement in public processes. The EngagingPlans platform and apps create meaningful opportunities for citizen and stakeholder feedback—at home, at work, or on-the-go.","Mission and PurposeUrban Interactive Studio believes that communities should be shaped by people with the assistance of experts, rather than handed down as a finished product. The UIS mission is to give people a voice in shaping the future of their...","","","","","",""
"Urban Planning Aid","","","","United States","","","",""
"US Department of Health and Human Services","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"US Department of Health and Human Services Alternatives Inc.","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"UVic Constitutional Law Class 2011/2012","","IntroductionThis is the working constitution of the University of Victoria's Constitutional Law Class 2011/2012 A02. Everyone is welcome to edit the constitution! Changes to our constitution are tracked through the history and earlier versions can be...","","Canada","TBD","1","","57"
"Viewpoint Learning","Viewpoint Learning, founded by Daniel Yankelovich and Dr. Steven Rosell in 1999, holds public and private issue-oriented dialogues and provides facilitation and consulting services respecting issue-oriented dialogue. Viewpoint Learning has developed several methods of dialogue including Choicework Dialogue -- also called Choice-Dialogue -- Strategic Dialogue, Stakeholder Dialogue, Community Conversation, and Online Dialogue. Viewpoint Learning's methods have been used in several notable public deliberations, including the 2002 Citizen's Dialogue on the Future of Healthcare in Canada; the 2003 Citizens' and Stakeholders' Dialogues on the Future of Housing in San Mateo, California; and CommonGround: The First Five Years: A Dialogue on Early Childhood in New Mexico.","Mission and PurposeViewpoint Learning describes its purpose as ""designing and conducting specialized dialogues on complex and challenging issues for Fortune 500 companies, governments, foundations and other organizations across the United States, Canada...","","United States","Daniel Yankelovich","7","",""
"Vorarlberg State Government","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Vouliwatch","","Mission and PurposeVouliwatch is a digital platform that engages Greek citizens with legislative politics and grants them with the opportunity to communicate, evaluate and hold elected representatives in the Greek and the European Parliament (MPs &...","","","Stefanos Loukopoulos","8","",""
"Washington County - Citizen Participation Organization","","Stub","","United States","","","",""
"Washington County Long Range Planning Division","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"White House Office of Public Engagement","","Purpose and MissionThe White House Office of Public Engagement was started by President Barak Obama, with the purpose of being a medium through which the American public could directly communicate with the Obama administration. The president’s goal with...","","","Christina M. Tchen","20","",""
"Wikivote","Wikivote is a Moscow based Russian company, set up in 2010 and specializing in building online platforms and facilitating civil participation in law-making and strategic documents drafting. The Wikivote methodology uses the wiki principle of community participation. Technically the Wikivote methodology is implemented on a generic Intelligent Collaboration System.","Mission and Purpose Wikivote is a Russian non-governmental organization which goal is to develop effective means of citizens’ participation in lawmaking and strategic planning. Our approach is based on attracting the open network community to...","","Russia","Vasiliy Burov","15","",""
"World Wide Views on Global Warming overview and analysis ","The following entry on the World Wide Views on Global Warming organization takes a closer look at the history, purpose, participant selection process, the deliberation process, and analysis and criticisms of the global conference held in more than 38 countries spanning over 6 continents with more than 4,000 citizens representing countries around the world.","


Note: Another version of this case study can be found as a file attachment with the prefix ""VD"" by clicking on ""Media"" within the Edit function. This alternate version was originally submitted to Vitalizing Democracy as a contestant for the 2011...","","United States","","","",""
"Young Advisors Charity","Young Advisors are young people typically aged between 15 and 21, who show community leaders and decision makers how to engage young people in community life, local decision making and improving services.

Young Advisors are trained agents of social action who guide local authorities, housing associations and other local partners about what it is like for a young person to live, work, learn and play in their neighbourhood.","Mission and PurposeYoung Advisors wants young people to valued in CommunitiesOur Organisation has young people at its heartUsing the best training, we will support young people, communities and services to work together.Nationally, we will support and...","","","","","",""
"YouthDebates.Org","","Problems and PurposeYouthDebates.Org is an online, youth-run forum that allows youth ot discuss their political views on current events and continuing issues. It hosts discussions about a variety of politically-relevant issues, such as education,...","None","","Alexander Firth","","",""
"YouthDebates.Org","","Problems and PurposeYouthDebates.Org is an online, youth-run forum that allows youth ot discuss their political views on current events and continuing issues. It hosts discussions about a variety of politically-relevant issues, such as education,...","","","Alexander Firth","","",""
"Z Communications","","Z Communicationsis a compendium of projects and institution that seek to assist social movements to better people's lives in the present context -- while changing the context so in the future injustice is undone. Through it's diverse projects, Z...","","","","","",""
"Zebralog","","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","United States","","","",""
"Zebralog - Experts in eParticipation","Zebralog is the leading agency for online and cross-media civic participation in Germany. As pioneer in the field of web-based dialogues, the company has sought to create and optimize cross-media communication between citizens and state for over ten years. Zebralog designs, organizes, implements, moderates, and evaluates a wide range of participation processes, from participatory urban planning projects over participatory budgeting, to debates on legislative procedures at the federal level. As a consultancy, Zebralog strives to enable private and public organizations to enter into a dialogue with citizens. As an agency, the company takes care of the technical implementation, and as an institute, Zebralog conducts research projects and provides expert opinions."," Zebralog is a leading agency for online and cross-media civic participation in Germany. As pioneer in the field of web-based dialogues, the company has sought to create and optimize cross-media communication between citizens and state for over ten years...","","Germany","","","",""
"ÖGUT - Austrian Society for Environment and Technology","The Austrian Society for Environment and Technology (OeGUT) is a non profit organisation, aiming at the transition of economy and society towards a sustainable future. As a scientific platform for sustainable development OeGUT is performing research, communication and networking activities with around 90 organisations and institutions from ministries, public authorities, enterprises, interest groups and environmental organisations. 

OeGUT deals with relevant issues on the interface between environment and technology. Main topics are: 
•	Consumption and Quality of Life
•	Energy
•	Gender and Diversity
•	Green Investment
•	Innovative Building
•	Public Participation
•	 Resources","Mission and Purpose History Specializations and activities Major projects and events Funding Publications Secondary Sources External Links Notes ","","","","","",""
"Daily Bread Devotional","http://www.everydaydevotional.com/2014/05/joel-osteen-ministries-word-fo...","http://www.everydaydevotional.com/2014/05/joel-osteen-ministries-word-fo...Funding Publications Secondary Sources External Links Notes ","","","","","",""
"Occupy Vancouver","Needs German translation.","Needs translationwww.occupyvancouver.com  ","","Vereinigte Staaten","","","","100+"
"wer denkt was GmbH","„wer denkt was“ führt gemeinsam mit Kommunen Partizipationsverfahren bei der Haushalts- und Stadtplanung durch.","Schwerpunkte und AktivitätenDie wer denkt was GmbH ist eine Ausgründung der Technischen Universität Darmstadt, die sich auf digitale Bürgerbeteiligung und Anliegenmanagement spezialisiert hat. Das interdisziplinäre Team der wer denkt was GmbH führt mit...","","Germany","Dr. Tobias Klug, Dr. Robert Lokaiczyk","","",""
